t_s,vbat_mv,state
33180,3610,-
33240,3612,-
33300,3610,-
33360,3606,lit
33420,3606,-
33480,3610,-
33540,3606,-
33600,3610,-
33660,3604,-
33720,3602,-
33780,3604,-
33840,3604,-
33900,3600,-
33960,3602,-
34020,3600,-
34080,3600,-
34140,3590,-
34200,3590,-
34260,3600,lit
34320,3596,-
34380,3596,-
34440,3596,-
34500,3596,lit
34560,3598,lit
34620,3598,lit
34680,3590,lit
34740,3594,-
34800,3592,-
34860,3582,-
34920,3584,-
34980,3584,-
35040,3588,-
35100,3586,-
35160,3582,-
35220,3580,-
35280,3580,-
35340,3584,-
35400,3576,-
35460,3578,-
35520,3582,-
35580,3580,-
35640,3580,-
35700,3574,-
35760,3578,-
35820,3578,-
35880,3578,-
35940,3574,-
36000,3570,-
36060,3570,-
36120,3570,-
36180,3570,-
36240,3574,-
36300,3570,-
36360,3570,-
36420,3570,-
36480,3570,-
36540,3568,-
36600,3570,-
36660,3564,-
36720,3566,-
36780,3562,-
36840,3556,-
36900,3564,-
36960,3562,-
37020,3560,-
37080,3558,-
37140,3560,-
37200,3558,-
37260,3556,-
37320,3554,-
37380,3560,-
37440,3558,-
37500,3556,-
37560,3558,-
37620,3558,-
37680,3552,-
37740,3552,-
37800,3548,-
37860,3546,-
37920,3544,-
37980,3544,-
38040,3548,-
38100,3542,-
38160,3544,-
38220,3538,-
38280,3540,-
38340,3542,-
38400,3536,-
38460,3540,-
38520,3530,-
38580,3536,-
38640,3528,-
38700,3536,-
38760,3532,-
38820,3534,-
38880,3532,-
38940,3528,-
39000,3532,-
39060,3528,-
39120,3528,-
39180,3522,-
39240,3526,-
39300,3520,-
39360,3524,-
39420,3518,-
39480,3518,-
39540,3520,-
39600,3518,-
39660,3518,-
39720,3510,-
39780,3510,-
39840,3514,-
39900,3514,-
39960,3510,-
40020,3506,-
40080,3510,-
40140,3504,-
40200,3502,-
40260,3502,-
40320,3504,-
40380,3506,-
40440,3498,-
40500,3500,-
40560,3496,-
40620,3500,-
40680,3500,-
40740,3494,-
40800,3492,-
40860,3492,-
40920,3492,-
40980,3492,-
41040,3490,-
41100,3490,-
41160,3494,-
41220,3486,-
41280,3494,-
41340,3490,-
41400,3484,-
41460,3486,-
41520,3484,-
41580,3486,-
41640,3484,-
41700,3486,-
41760,3480,-
41820,3484,-
41880,3480,-
41940,3482,-
42000,3480,-
42060,3480,-
42120,3480,-
42180,3476,-
42240,3476,-
42300,3474,-
42360,3476,-
42420,3478,-
42480,3474,-
42540,3470,-
42600,3474,-
42660,3470,-
42720,3466,-
42780,3466,-
42840,3464,-
42900,3466,-
42960,3460,-
43020,3460,-
43080,3462,-
43140,3458,-
43200,3460,-
43260,3458,-
43320,3452,-
43380,3452,-
43440,3450,-
43500,3450,-
43560,3444,-
43620,3444,-
43680,3442,-
43740,3438,-
43800,3438,-
43860,3428,-
43920,3428,-
43980,3426,-
44040,3422,-
44100,3414,-
44160,3412,-
44220,3406,-
